ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,ReachedonTime_YN,
6194,F,Ship,4,4,133,4,high,F,10,5296,0,0.056714363
6195,A,Ship,5,2,173,4,high,F,9,4307,0,0.328351275
6196,B,Ship,4,3,210,3,low,M,9,5556,0,0.183487061
6197,C,Ship,3,4,238,2,medium,F,1,,1,0.403214635
6198,F,Ship,4,2,268,4,low,F,3,5275,0,0.618745116
6199,D,Ship,3,5,175,3,medium,F,8,5471,1,0.477180894
6200,F,Ship,5,2,280,4,low,M,8,4539,1,0.132900391
6201,A,Ship,4,1,153,2,low,F,1,4027,0,0.015214767
6202,B,Ship,4,4,251,2,medium,F,6,4376,0,0.002977315
6203,C,Ship,4,2,252,3,medium,M,8,4262,1,0.69244266
6204,F,Ship,4,5,201,8,medium,F,4,5472,1,0.853281761
6205,D,Ship,5,4,216,4,medium,F,8,5878,1,0.244194031
6206,F,Ship,3,2,126,10,low,M,3,4073,1,0.941615013
6207,A,Ship,3,2,177,4,low,F,3,4199,1,0.549529531
6208,B,Ship,5,3,145,3,medium,M,1,,1,0.39317305
6209,C,Ship,5,3,258,2,low,F,10,5371,1,0.147692934
6210,F,Ship,4,3,273,10,medium,M,6,4251,1,0.015351369
6211,D,Ship,4,1,245,3,low,F,5,4523,0,0.085630616
6212,F,Ship,5,4,241,2,medium,F,7,4413,0,0.866911587
6213,A,Ship,4,1,208,3,low,F,6,5345,1,0.815098926
6214,B,Ship,6,5,282,4,low,M,1,1193,1,0.736072333
6215,C,Ship,6,5,295,4,medium,M,1,1159,0,0.925167047
6216,F,Ship,6,5,255,4,low,F,9,1113,0,0.206004775
6217,D,Ship,6,3,292,4,low,F,8,1434,0,0.618056023
6218,F,Ship,6,4,244,4,low,M,1,1130,1,0.475251192
6219,A,Ship,6,4,306,4,low,F,8,,1,0.354676806
6220,B,Ship,6,5,258,4,low,M,5,1966,1,0.292226694
6221,C,Ship,4,1,265,6,low,F,2,1629,1,0.563103691
6222,F,Ship,5,1,227,5,low,M,6,1667,0,0.107114657
6223,D,Ship,7,1,276,4,low,F,9,1519,1,0.774066523
6224,F,Ship,6,5,244,4,medium,F,2,1980,0,0.584662453
6225,A,Ship,4,2,217,6,medium,F,3,1732,1,0.556385849
6226,B,Ship,2,5,211,3,low,M,3,1368,0,0.576665501
6227,C,Ship,4,4,227,5,low,M,8,1982,1,0.04304052
6228,F,Ship,5,1,249,4,medium,M,5,1027,1,0.650605835
6229,D,Ship,6,2,269,4,low,M,6,1073,0,0.961555041
6230,F,Ship,6,3,278,4,medium,M,4,1716,0,0.884959253
6231,A,Ship,6,5,282,4,medium,F,4,1013,0,0.341247816
6232,B,Ship,6,1,300,4,medium,F,2,1790,1,0.863341141
6233,C,Ship,3,3,146,3,medium,F,4,5384,0,0.823275139
6234,F,Ship,3,4,236,3,medium,F,5,5466,0,0.756059573
6235,D,Ship,4,4,133,4,high,F,7,5973,1,0.61641694
6236,F,Ship,5,4,173,4,high,F,8,5284,1,0.106226521
6237,A,Ship,4,2,210,3,low,F,9,4163,0,0.756447015
6238,B,Ship,3,3,238,2,medium,F,4,4206,0,0.026577647
6239,C,Ship,4,4,268,4,low,M,5,5647,0,0.911557667
6240,F,Ship,3,4,175,3,medium,M,10,4771,1,0.846459931
6241,D,Ship,5,4,280,4,low,M,10,5156,0,0.051716066
6242,F,Ship,4,5,153,2,low,M,1,4492,0,0.148265
6243,A,Ship,4,5,251,2,medium,F,8,,0,0.427634699
6244,B,Ship,4,2,252,3,medium,M,2,5769,0,0.895191045
6245,C,Ship,4,2,201,8,medium,F,9,5146,0,0.84676837
6246,F,Ship,5,5,216,4,medium,F,1,4092,1,0.164377391
6247,D,Ship,3,3,126,10,low,M,10,4128,0,0.561131575
6248,F,Ship,3,1,177,4,low,F,6,5037,1,0.619438883
6249,A,Ship,5,2,145,3,medium,M,2,4836,0,0.132029471
6250,B,Ship,5,4,258,2,low,F,8,,0,0.400209489
6251,C,Ship,4,3,273,10,medium,F,8,4896,0,0.921399348
6252,F,Ship,4,1,245,3,low,M,2,5835,1,0.864518828
6253,D,Ship,5,2,241,2,medium,M,6,4741,0,0.292157958
6254,F,Ship,4,1,208,3,low,M,4,4530,1,0.176141331
6255,A,Ship,6,1,282,4,low,M,1,1434,0,0.106471797
6256,B,Ship,6,5,295,4,medium,M,5,1963,1,0.204386334
6257,C,Ship,6,4,255,4,low,M,7,1869,1,0.701415423
6258,F,Ship,6,2,292,4,low,F,2,1565,0,0.762697501
6259,D,Ship,6,1,244,4,low,M,5,1867,0,0.033529756
6260,F,Ship,6,3,306,4,low,M,10,1372,1,0.519680792
6261,A,Ship,6,5,258,4,low,M,5,,0,0.401489415
6262,B,Ship,4,1,265,6,low,F,9,1753,1,0.057440999
6263,C,Ship,5,2,227,5,low,F,3,1242,1,0.569555448
6264,F,Ship,7,2,276,4,low,M,9,1022,1,0.864325475
6265,D,Ship,6,4,244,4,medium,F,1,1179,1,0.572358665
6266,F,Ship,4,4,217,6,medium,M,9,1974,0,0.995268892
6267,A,Ship,2,1,211,3,low,M,6,1760,1,0.241031092
6268,B,Ship,4,5,227,5,low,F,2,1804,1,0.234865216
6269,C,Ship,5,5,249,4,medium,M,2,1727,1,0.006383409
6270,F,Ship,7,4,302,5,medium,M,7,1503,1,0.578246606
6271,D,Ship,6,4,293,6,low,F,7,1117,1,0.962526591
6272,F,Ship,5,5,232,3,low,M,4,1716,1,0.333084155
6273,A,Ship,6,5,279,4,low,M,7,1447,0,0.92854812
6274,B,Ship,6,5,251,4,low,F,8,1038,0,0.148701577
6275,C,Ship,6,5,300,5,low,M,1,1188,0,0.235792175
6276,F,Road,7,5,133,5,low,F,3,1544,1,0.904034829
6277,D,Road,6,5,283,4,low,M,2,1136,1,0.281105464
6278,F,Road,7,5,296,4,low,M,8,1686,1,0.324873782
6279,A,Road,6,3,261,4,medium,F,8,1397,1,0.048954468
6280,B,Road,6,1,286,4,low,F,3,1747,1,0.000913951
6281,C,Road,6,3,298,4,low,F,1,,0,0.39869397
6282,F,Road,6,4,287,4,medium,F,9,1936,1,0.042523326
6283,D,Road,6,2,251,4,medium,F,9,1322,1,0.799915505
6284,F,Road,5,1,231,5,low,M,10,1418,0,0.716615833
6285,A,Road,5,2,249,5,medium,M,6,1298,0,0.786660028
6286,B,Road,5,3,244,5,low,F,3,1174,0,0.072257489
6287,C,Road,7,2,264,4,medium,M,6,1688,0,0.894393915
6288,F,Road,5,2,254,5,medium,M,6,1002,0,0.15539619
6289,D,Road,4,5,264,6,low,M,6,1637,0,0.714698473
6290,F,Road,6,5,309,4,low,M,6,1463,1,0.712641733
6291,A,Road,5,5,298,4,low,M,8,,0,0.379651396
6292,B,Road,5,5,265,5,medium,F,8,,0,0.411607345
6293,C,Road,6,1,246,4,medium,M,4,1504,1,0.658656353
6294,F,Road,5,2,222,5,low,F,1,1672,0,0.290549882
6295,D,Road,7,5,250,4,low,F,2,1296,0,0.775013529
6296,F,Road,4,3,240,5,medium,F,5,1301,0,0.911414295
6297,A,Road,4,3,246,6,low,F,10,1176,0,0.561291764
6298,B,Flight,6,1,293,5,medium,F,7,1052,0,0.310942552
6299,C,Flight,6,5,253,4,medium,M,1,1977,0,0.717623735
6300,F,Flight,5,5,258,5,medium,M,7,1819,0,0.188571607
6301,D,Flight,6,4,258,4,low,F,2,1051,1,0.595373216
6302,F,Flight,5,3,245,5,medium,M,3,1851,0,0.606669941
6303,A,Flight,7,2,307,4,medium,M,2,1073,0,0.662111839
6304,B,Flight,6,5,301,4,low,F,3,,0,0.423144561
6305,C,Flight,6,5,252,4,low,F,2,1249,0,0.968713298
6306,F,Flight,5,1,272,6,medium,F,2,1681,1,0.667823601
6307,D,Flight,5,3,221,5,low,F,2,1630,1,0.101675995
6308,F,Flight,5,3,247,5,low,M,10,1699,1,0.163876332
6309,A,Flight,7,5,260,4,low,F,3,1930,1,0.502357344
6310,B,Flight,5,5,251,6,medium,M,4,1077,0,0.129108084
6311,C,Flight,5,2,227,5,medium,M,9,1917,0,0.667591116
6312,F,Flight,6,5,269,4,low,M,9,1826,0,0.99506401
6313,D,Flight,6,2,161,4,low,M,10,1683,0,0.969491352
6314,F,Flight,4,4,256,5,low,M,9,1622,1,0.945540739
6315,A,Flight,5,1,303,5,medium,F,9,1203,0,0.779108806
6316,B,Flight,5,3,257,5,medium,F,7,1565,1,0.641518754
6317,C,Flight,7,3,310,4,medium,F,8,1497,0,0.906390378
6318,F,Flight,5,3,238,5,medium,M,2,1150,1,0.112678478
6319,D,Flight,6,3,191,6,medium,F,2,4471,0,0.005105577
6320,F,Ship,4,3,252,3,medium,F,7,4852,0,0.073697229
6321,A,Ship,5,5,228,3,medium,F,8,4731,1,0.313301534
6322,B,Ship,4,3,208,2,medium,F,4,4767,1,0.001989158
6323,C,Ship,3,3,176,3,low,F,1,5168,0,0.629886935
6324,F,Ship,3,1,233,3,low,F,7,4874,0,0.229409383
6325,D,Ship,5,5,104,4,low,M,2,5235,0,0.712281401
6326,F,Ship,3,4,237,3,low,M,1,5980,0,0.108471674
6327,A,Ship,2,5,252,3,medium,M,7,5281,0,0.737371734
6328,B,Ship,5,2,135,3,medium,M,9,5173,0,0.908167977
6329,C,Ship,5,5,137,2,low,M,8,5111,1,0.029536252
6330,F,Ship,4,3,228,3,medium,F,1,5129,1,0.120093876
6331,D,Ship,4,3,236,4,medium,M,1,5783,1,0.841891421
6332,F,Ship,3,4,239,4,medium,F,8,,0,0.429807796
6333,A,Ship,2,2,199,3,low,M,1,4697,1,0.214833851
6334,B,Ship,3,4,269,2,medium,M,2,4177,0,0.942632713
6335,C,Ship,2,2,226,3,low,M,5,5875,0,0.901610487
6336,F,Ship,3,1,264,3,low,F,5,5043,0,0.489923619
6337,D,Ship,5,4,264,3,medium,M,10,4025,1,0.468365474
6338,F,Ship,4,3,186,3,low,M,2,4437,1,0.323661037
6339,A,Ship,3,5,154,3,high,F,2,4219,0,0.149233032
6340,B,Ship,3,1,239,2,medium,F,2,,1,0.406048836
6341,C,Ship,3,5,139,2,low,F,7,4449,1,0.676381124
6342,F,Ship,5,4,138,2,medium,F,8,5885,1,0.08444416
6343,D,Ship,3,1,286,4,medium,M,4,5106,0,0.665479661
6344,F,Ship,4,3,275,5,low,M,2,4622,1,0.237318893
6345,A,Ship,4,5,195,2,low,M,2,,1,0.369261593
6346,B,Ship,3,4,267,3,high,M,8,5337,1,0.260757024
6347,C,Ship,4,3,223,3,medium,F,7,5935,0,0.961582506
6348,F,Ship,4,4,198,2,low,M,6,5520,0,0.131335138
6349,D,Ship,6,5,250,2,low,F,7,4724,0,0.957533171
6350,F,Ship,3,3,237,4,low,F,8,5761,0,0.275397168
6351,A,Ship,5,4,193,3,medium,M,4,5873,0,0.07695337
6352,B,Ship,5,2,216,4,medium,F,9,5804,0,0.205612784
6353,C,Ship,3,2,253,2,medium,F,2,4567,0,0.122743701
6354,F,Ship,3,1,132,3,low,F,2,4785,0,0.545950749
6355,D,Ship,5,4,140,4,low,M,3,4018,0,0.180957096
6356,F,Ship,2,4,114,4,low,M,9,4452,1,0.744661353
6357,A,Ship,3,5,238,6,medium,M,8,5620,0,0.084522675
6358,B,Ship,3,1,210,2,low,M,9,5932,0,0.290869801
6359,C,Ship,4,4,272,4,medium,M,4,4363,1,0.333989295
6360,F,Ship,4,5,184,3,medium,F,9,5594,0,0.471669989
6361,D,Ship,4,1,168,2,low,M,3,4665,1,0.929622736
6362,F,Ship,4,2,231,5,low,M,7,4718,0,0.578470523
6363,A,Ship,4,1,143,2,medium,F,5,4057,0,0.15613123
6364,B,Ship,4,2,182,3,medium,M,9,5735,0,0.232670343
6365,C,Ship,2,4,221,3,low,F,3,4076,0,0.844926113
6366,F,Ship,6,1,225,6,low,M,8,5714,1,0.154527921
6367,D,Ship,3,5,227,3,high,M,9,4892,1,0.290691993
6368,F,Ship,3,1,266,3,low,M,5,5154,0,0.755749123
6369,A,Ship,4,2,247,4,high,F,9,4588,1,0.32324985
6370,B,Ship,3,2,154,3,medium,M,1,5322,1,0.513108423
6371,C,Ship,5,3,179,3,low,F,3,4131,0,0.643175917
6372,F,Ship,3,3,249,2,medium,M,9,4034,1,0.926851702
6373,D,Ship,3,5,156,4,low,M,5,4661,1,0.660476668
6374,F,Ship,3,5,206,3,low,F,6,,1,0.446940514
6375,A,Ship,4,1,245,3,medium,F,5,4173,0,0.770368642
6376,B,Ship,4,5,197,2,low,M,3,4379,1,0.671886404
6377,C,Ship,3,4,188,4,medium,M,5,5216,1,0.564156372
6378,F,Ship,3,3,237,2,low,F,2,4263,1,0.314947195
6379,D,Ship,4,4,174,2,medium,F,2,5892,0,0.824842699
6380,F,Ship,5,3,266,3,low,M,4,4969,1,0.989827404
6381,A,Ship,3,3,151,3,low,M,7,4611,0,0.789379487
6382,B,Ship,4,3,271,2,medium,M,9,4967,1,0.893761158
6383,C,Ship,4,1,214,2,low,F,10,4447,0,0.212083847
6384,F,Ship,6,5,261,5,low,M,1,5442,0,0.270065801
6385,D,Ship,3,1,166,2,high,F,6,5905,1,0.510933593
6386,F,Ship,3,4,269,2,low,F,8,5294,1,0.841300553
6387,A,Ship,3,2,167,3,medium,M,5,5995,1,0.590781846
6388,B,Ship,4,1,200,2,medium,F,5,5249,0,0.745843892
6389,C,Ship,4,4,159,3,low,F,1,4194,1,0.11175172
6390,F,Ship,4,2,197,2,low,F,1,4977,0,0.956694474
6391,D,Ship,4,5,219,2,high,M,4,4069,1,0.660459527
6392,F,Ship,3,2,239,3,low,F,10,,0,0.383014643
6393,A,Ship,3,1,146,2,medium,F,8,5375,0,0.059422437
6394,B,Ship,5,1,173,2,low,F,4,4242,1,0.868996742
6395,C,Ship,4,3,220,3,low,F,6,4894,1,0.995291089
6396,F,Ship,3,5,185,3,medium,M,5,4317,1,0.320704958
6397,D,Ship,4,2,170,2,medium,M,5,,1,0.365241544
6398,F,Ship,4,3,250,3,high,F,4,5272,1,0.936414955
6399,A,Ship,3,4,145,3,low,F,7,4079,1,0.768667675
6400,B,Ship,3,2,211,4,high,M,1,,1,0.387052135
6401,C,Ship,5,5,249,3,low,M,1,,0,0.431831037
6402,F,Ship,3,3,237,2,medium,M,8,5516,0,0.644235258
6403,D,Ship,4,5,144,2,medium,M,8,5478,0,0.816920017
6404,F,Ship,4,4,171,3,low,M,6,4343,1,0.141930117
6405,A,Ship,3,1,203,3,medium,F,4,,0,0.405932471
6406,B,Ship,5,1,137,4,high,F,1,4042,0,0.28702822
6407,C,Ship,4,2,212,3,medium,M,3,5427,1,0.823808015
6408,F,Ship,3,3,209,3,high,F,2,4036,1,0.893829839
6409,D,Ship,3,4,223,3,low,F,7,5336,1,0.523752937
6410,F,Ship,3,2,164,2,medium,F,7,4150,0,0.997841315
6411,A,Ship,3,3,220,3,high,F,6,5269,1,0.848495439
6412,B,Ship,3,4,216,3,medium,M,3,5651,0,0.107928837
6413,C,Road,3,2,215,2,medium,M,7,5988,1,0.48062123
6414,F,Road,4,2,146,3,low,F,4,5659,0,0.613891879
6415,D,Road,5,2,168,2,low,F,10,5225,1,0.72519203
6416,F,Road,4,4,218,6,medium,M,8,5101,1,0.174824642
6417,A,Road,4,3,143,4,medium,F,2,4919,0,0.020460627
6418,B,Road,3,1,233,3,medium,M,7,5331,0,0.682435579
6419,C,Road,4,1,195,3,low,M,2,4418,0,0.944079317
6420,F,Road,4,2,206,2,medium,M,5,4635,0,0.603931009
6421,D,Road,4,5,181,3,medium,M,1,5310,0,0.227025838
6422,F,Road,4,2,150,4,low,F,1,5922,1,0.701531086
6423,A,Road,3,5,258,4,low,F,3,4212,1,0.062233059
6424,B,Road,4,3,149,4,medium,M,1,4678,0,0.192014322
6425,C,Road,5,1,163,3,low,M,4,,0,0.403863826
6426,F,Road,3,3,259,2,high,M,8,4481,0,0.485087224
6427,D,Road,5,1,187,2,low,F,7,4792,0,0.806864244
6428,F,Road,3,5,172,3,medium,M,1,5024,1,0.706661914
6429,A,Road,3,5,139,2,low,M,2,5839,0,0.634559565
6430,B,Road,5,1,203,3,low,F,2,4162,1,0.150192573
6431,C,Road,3,3,150,4,medium,F,1,4662,0,0.121117258
6432,F,Road,3,1,201,6,medium,M,10,5077,1,0.857685844
6433,D,Road,3,4,194,2,medium,M,7,5553,0,0.610578918
6434,F,Road,3,4,159,3,high,M,4,4756,1,0.305192417
6435,A,Flight,4,2,238,2,medium,F,9,4937,0,0.471656475
6436,B,Flight,3,5,189,2,low,M,8,,0,0.376739888
6437,C,Flight,2,1,173,2,high,M,1,4135,1,0.801983468
6438,F,Flight,4,1,171,4,medium,M,2,5082,0,0.111961805
6439,D,Flight,5,3,154,2,low,M,3,5440,1,0.857033267
6440,F,Flight,4,1,173,3,low,F,4,4634,0,0.317877161
6441,A,Flight,3,4,186,6,low,F,8,4134,0,0.170208484
6442,B,Flight,4,1,224,3,low,M,9,5546,1,0.702628578
6443,C,Flight,4,3,186,3,medium,F,9,5131,1,0.450093277
6444,F,Flight,4,4,196,3,low,M,5,5514,0,0.891700541
6445,D,Flight,2,2,149,3,low,F,4,4819,1,0.758470121
6446,F,Flight,4,3,224,2,medium,M,8,5961,1,0.323088119
6447,A,Flight,3,1,154,2,low,F,10,5594,1,0.150367921
6448,B,Flight,3,3,170,4,low,M,3,4049,0,0.72863731
6449,C,Flight,3,4,150,2,low,F,6,5987,0,0.494919452
6450,F,Flight,5,2,240,3,low,M,7,4744,1,0.894216739
6451,D,Flight,3,3,139,2,medium,F,4,,1,0.357436736
6452,F,Flight,3,3,251,3,medium,M,2,5972,0,0.793625187
6453,A,Flight,4,4,237,3,medium,M,4,4747,1,0.083154948
6454,B,Flight,3,2,227,3,low,F,4,4450,0,0.954257956
6455,C,Flight,5,5,131,5,low,F,1,5299,1,0.196202626
6456,F,Flight,5,2,161,3,low,M,8,5804,1,0.927346731
6457,D,Ship,3,5,195,3,medium,F,9,4224,0,0.166841668
6458,F,Ship,2,3,266,2,low,M,1,5356,0,0.300295421
6459,A,Ship,3,2,198,2,low,M,9,4250,1,0.498224373
6460,B,Ship,4,3,200,4,low,F,10,4291,1,0.00430572
6461,C,Ship,6,1,196,4,medium,F,2,5844,0,0.510174696
6462,F,Ship,2,1,285,5,low,M,4,5759,0,0.984693128
6463,D,Ship,4,2,265,2,low,M,2,5649,0,0.717296059
6464,F,Ship,3,2,131,5,low,F,8,5084,0,0.81244805
6465,A,Ship,5,4,216,3,medium,F,2,5404,1,0.16140268
6466,B,Ship,4,1,253,4,low,F,1,5621,0,0.804348699
6467,C,Ship,5,3,230,4,medium,M,4,5278,1,0.137415176
6468,F,Ship,4,1,173,4,medium,F,1,4684,0,0.997781422
6469,D,Ship,3,5,206,2,low,F,4,4080,0,0.240636063
6470,F,Ship,5,3,189,5,low,M,7,4869,0,0.00242244
6471,A,Ship,3,5,270,3,high,M,1,4078,1,0.648604878
6472,B,Ship,4,4,266,3,low,M,3,5531,1,0.007841119
6473,C,Ship,3,5,270,3,medium,M,7,5477,1,0.804924867
6474,F,Ship,3,4,216,8,medium,F,8,4616,0,0.743982633
6475,D,Ship,3,1,147,8,medium,M,6,4575,0,0.818723539
6476,F,Ship,3,2,270,6,medium,F,10,4725,1,0.043905927
6477,A,Ship,3,2,261,8,low,F,3,5171,0,0.923554563
6478,B,Ship,3,3,261,8,medium,M,3,4007,1,0.206121743
6479,C,Ship,4,2,177,6,low,F,3,4392,1,0.78759581
6480,F,Ship,4,4,142,10,high,F,7,4624,0,0.34170649
6481,D,Ship,5,4,222,3,medium,F,10,4663,0,0.603989675
6482,F,Ship,4,4,186,7,medium,M,9,5418,0,0.069160429
6483,A,Ship,3,2,177,3,medium,M,8,5006,1,0.922172165
6484,B,Ship,4,1,251,4,low,M,3,4433,0,0.51497029
6485,C,Ship,3,5,240,7,medium,F,9,,1,0.399119435
6486,F,Ship,3,4,260,4,medium,M,10,5425,0,0.726056099
6487,D,Ship,4,2,206,7,high,M,3,4991,0,0.798135442
6488,F,Ship,4,3,242,2,low,M,3,4811,1,0.810556517
6489,A,Ship,3,1,194,3,low,F,1,5566,0,0.139928933
6490,B,Ship,5,1,232,3,low,F,10,1014,1,0.024228779
6491,C,Ship,6,2,279,4,low,F,10,1990,1,0.74492614
6492,F,Ship,6,4,251,4,low,F,10,1568,1,0.931611919
6493,D,Ship,6,1,300,5,low,F,10,1787,0,0.833178656
6494,F,Ship,7,3,133,5,low,F,4,1783,1,0.464709588
6495,A,Ship,6,1,283,4,low,M,8,1404,0,0.095251471
6496,B,Ship,7,4,296,4,low,F,8,1717,1,0.815139876
6497,C,Ship,6,2,261,4,medium,M,8,1891,0,0.662857037
6498,F,Ship,6,2,286,4,low,F,3,1959,0,0.560257245
6499,D,Ship,6,1,298,4,low,F,1,1735,1,0.466189265
6500,F,Ship,6,1,287,4,medium,F,1,1581,0,0.693771333
6501,A,Ship,6,5,251,4,medium,F,3,1660,0,0.925990361
6502,B,Ship,5,2,231,5,low,F,4,1913,1,0.258349928
6503,C,Ship,5,1,249,5,medium,M,10,1561,0,0.932823588
6504,F,Ship,5,2,244,5,low,M,10,1699,0,0.021865001
6505,D,Ship,7,1,264,4,medium,F,9,1829,1,0.149359317
6506,F,Ship,5,1,254,5,medium,M,10,,0,0.440944529
6507,A,Ship,4,4,264,6,low,F,6,1758,0,0.222411851
6508,B,Ship,6,4,309,4,low,M,9,1771,1,0.8579965
6509,C,Ship,5,1,298,4,low,F,4,1853,0,0.762273039
6510,F,Ship,5,5,265,5,medium,M,1,1568,0,0.4867132
6511,D,Ship,6,2,246,4,medium,M,7,1071,0,0.017963998
6512,F,Ship,5,2,222,5,low,F,5,1329,0,0.861342897
6513,A,Ship,7,5,250,4,low,M,1,1690,1,0.611723312
6514,B,Ship,4,2,240,5,medium,M,7,1711,1,0.930037409
6515,C,Ship,4,1,246,6,low,F,6,1335,1,0.519682758
6516,F,Ship,6,2,293,5,medium,F,4,1281,0,0.065640243
6517,D,Ship,5,5,189,5,low,M,3,,1,0.355507561
6518,F,Ship,3,5,270,3,high,F,7,4459,1,0.846900985
6519,A,Ship,4,4,266,3,low,M,10,5221,0,0.879161291
6520,B,Ship,3,2,270,3,medium,M,9,5873,1,0.332812995
6521,C,Ship,3,3,216,8,medium,M,4,5329,1,0.83135497
6522,F,Ship,3,3,147,8,medium,F,7,5822,0,0.544644664
6523,D,Ship,3,5,270,6,medium,F,9,4195,0,0.285008828
6524,F,Ship,3,3,261,8,low,M,10,4145,0,0.697590018
6525,A,Ship,3,1,261,8,medium,F,9,5248,1,0.571673805
6526,B,Ship,4,4,177,6,low,M,6,5451,1,0.261110934
6527,C,Ship,4,2,142,10,high,F,9,4280,1,0.238812288
6528,F,Ship,5,3,222,3,medium,F,10,4597,0,0.770358892
6529,D,Ship,4,5,186,7,medium,F,1,4357,0,0.614266574
6530,F,Ship,3,3,177,3,medium,M,10,5374,1,0.466433686
6531,A,Ship,4,4,251,4,low,F,1,4252,0,0.248425781
6532,B,Ship,3,3,240,7,medium,M,3,4385,0,0.303938387
6533,C,Ship,3,5,260,4,medium,F,8,,1,0.3558539
6534,F,Ship,4,2,206,7,high,M,7,5479,1,0.730231876
6535,D,Ship,4,5,242,2,low,M,4,5341,0,0.597474885
6536,F,Ship,3,2,194,3,low,F,3,5779,1,0.166178732
6537,A,Ship,5,2,232,3,low,F,1,1187,1,0.751313216
6538,B,Ship,6,4,279,4,low,F,1,1246,1,0.483573288
6539,C,Ship,6,3,251,4,low,M,1,,1,0.40722745
6540,F,Ship,6,2,300,5,low,M,3,1696,0,0.466982319
6541,D,Ship,7,5,133,5,low,F,7,1239,1,0.484143102
6542,F,Ship,6,4,283,4,low,F,10,1512,0,0.195464147
6543,A,Ship,7,5,296,4,low,F,2,,1,0.374899944
6544,B,Ship,6,1,261,4,medium,F,8,1524,0,0.004369389
6545,C,Ship,6,3,286,4,low,M,5,1750,1,0.076954173
6546,F,Ship,6,5,298,4,low,M,3,1520,0,0.591702168
6547,D,Ship,6,3,287,4,medium,F,8,1850,1,0.494889666
6548,F,Ship,6,2,251,4,medium,F,6,1864,0,0.691173309
6549,A,Ship,5,4,231,5,low,M,10,1247,0,0.813488291
6550,B,Road,5,1,249,5,medium,F,1,1654,1,0.209093936
6551,C,Road,5,5,244,5,low,M,5,1787,0,0.744196625
6552,F,Road,7,3,264,4,medium,M,3,1296,0,0.618058607
6553,D,Road,5,4,254,5,medium,M,7,1545,0,0.020705616
6554,F,Road,4,1,264,6,low,M,7,1007,0,0.202876091
6555,A,Road,6,2,309,4,low,F,6,1335,0,0.875250227
6556,B,Road,5,1,298,4,low,M,4,1551,0,0.204272283
6557,C,Road,5,3,265,5,medium,F,6,1929,0,0.692785194
6558,F,Road,6,2,246,4,medium,F,7,1297,1,0.927691589
6559,D,Road,5,5,222,5,low,F,4,1311,0,0.881603463
6560,F,Road,7,1,250,4,low,M,9,1890,1,0.335884573
6561,A,Road,6,5,269,4,low,F,2,1243,0,0.247102644
6562,B,Road,6,2,161,4,low,F,9,,0,0.449983933
6563,C,Road,4,3,256,5,low,F,5,1533,1,0.318961779
6564,F,Road,5,1,303,5,medium,F,4,1009,0,0.533111855
6565,D,Road,5,3,257,5,medium,F,3,,0,0.415992651
6566,F,Road,5,2,259,5,low,F,3,1724,1,0.511885855
6567,A,Road,4,4,249,6,low,F,1,1398,1,0.075980464
6568,B,Road,6,2,289,4,high,F,3,1116,0,0.801778299
6569,C,Road,6,2,308,5,medium,F,6,1118,0,0.201546351
6570,F,Road,6,3,297,4,medium,F,2,1520,1,0.665374406
6571,D,Road,4,2,255,5,low,M,1,1353,1,0.609226697
6572,F,Flight,6,4,266,4,low,M,9,,1,0.448643228
6573,A,Flight,7,5,302,4,low,M,3,1597,1,0.50193057
6574,B,Flight,4,4,223,5,medium,M,4,1344,0,0.905234186
6575,C,Flight,6,1,261,4,low,F,6,1703,1,0.798988513
6576,F,Flight,4,1,273,5,low,F,7,1922,0,0.005605708
6577,D,Flight,6,5,260,4,low,F,2,1221,0,0.70198604
6578,F,Flight,5,1,266,5,low,F,9,1852,0,0.47714981
6579,A,Flight,2,1,164,5,low,F,8,1886,0,0.054878055
6580,B,Flight,5,5,240,6,medium,F,9,1117,0,0.974123293
6581,C,Flight,6,5,305,4,medium,M,10,1418,1,0.673906949
6582,F,Flight,5,3,248,5,low,F,7,1475,1,0.921160684
6583,D,Flight,7,2,279,4,medium,F,1,1480,0,0.767931588
6584,F,Flight,5,2,244,6,low,F,7,1315,0,0.46695361
6585,A,Flight,5,1,267,5,low,F,4,1097,0,0.645555113
6586,B,Flight,7,2,275,4,medium,F,6,1513,0,0.467767295
6587,C,Flight,6,4,299,4,medium,M,9,1036,1,0.771709785
6588,F,Flight,6,1,254,4,medium,F,3,1488,1,0.805761335
6589,D,Flight,6,1,273,4,medium,F,6,1524,0,0.114047908
6590,F,Flight,5,3,218,5,low,F,6,1278,1,0.726314727
6591,A,Flight,5,4,267,5,medium,F,10,1837,1,0.229997062
6592,B,Flight,6,2,259,4,medium,M,6,1066,1,0.150026543
6593,C,Flight,7,4,272,4,low,M,3,1805,0,0.831903334
6594,F,Ship,5,4,281,4,medium,M,8,,0,0.442884306
6595,D,Ship,6,2,267,4,medium,F,1,1935,0,0.170139142
6596,F,Ship,6,4,260,4,medium,F,10,,0,0.364574003
6597,A,Ship,7,2,261,4,medium,M,9,1918,1,0.297484937
6598,B,Ship,4,1,219,2,medium,F,2,1752,0,0.616877106
6599,C,Ship,4,3,264,5,medium,M,3,1639,0,0.197690274
6600,F,Ship,7,3,310,5,low,F,5,1563,0,0.263423842
